"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YGR067C",462.046998011583,-5.13140184731092,0.689900080165504,-7.43789136258677,1.02305136964007e-13,1.14170937450086e-12
"YIL057C",10855.2953520268,-5.07333592326515,0.688230042676097,-7.3715699819469,1.68630202629246e-13,1.81467652265495e-12
"YLR327C",14454.1015402227,-5.02274543107441,0.400513066976132,-12.5407779301586,4.46589870925945e-36,7.30493431728867e-34
"YAL054C",4920.65517033213,-4.98198117260738,0.698522304907331,-7.13217192580315,9.87973572204704e-13,9.50613227037299e-12
"YCR010C",2507.99757260351,-4.8181586547269,1.56911672541972,-3.07061837827144,0.00213615987820201,0.00491342519192709
"YKL187C",1262.51259725624,-4.81396741368186,0.684368965773857,-7.0341696576472,2.00451102817351e-12,1.83907462120085e-11
"YMR081C",2807.38179333243,-4.79015186631484,0.434052508111462,-11.035881089955,2.56524741965443e-28,2.03972798298911e-26
"YNL117W",7944.15775981084,-4.78848557038198,0.454412983305621,-10.53773933911,5.78733361739178e-26,3.48762999574399e-24
"YPR151C",1265.00295131105,-4.71072495684282,0.556899077883684,-8.45884854890481,2.70030461604862e-17,4.99659164761463e-16
"YKR097W",21593.8706726128,-4.70524923480057,0.400463557475849,-11.7495066578794,7.10323299544572e-32,8.55624532558819e-30
"YKL188C",246.189411601738,-4.70457230770878,0.635282438788362,-7.40548143701491,1.30675518631905e-13,1.42227631971038e-12
"YPR002W",1935.02464312162,-4.66359612993739,0.641481841488047,-7.27003607634353,3.59391505285013e-13,3.68730531856039e-12
"YGR008C",3068.28533268367,-4.66137828302382,0.478265731627072,-9.74641914478316,1.91089973326632e-22,7.1724498288099e-21
"YER067W",3328.72110559689,-4.63720265232209,0.577701639232903,-8.02698544958184,9.9896927518196e-16,1.52103699479168e-14
"YMR206W",358.630113656549,-4.62571765074514,0.584270074760587,-7.9170880908809,2.43137492560398e-15,3.43128736453091e-14
"YIL101C",515.899930098083,-4.61824733823279,0.612367291321975,-7.54162967826538,4.64134209634392e-14,5.54732432183068e-13
"YOR374W",11504.6132423056,-4.61659430865256,0.541070260688361,-8.53233793108354,1.43419390633271e-17,2.75816168024987e-16
"YIL155C",6243.62677610505,-4.55384731526055,0.472365115296575,-9.64052417884713,5.3911971492344e-22,1.88198802922969e-20
"YDR258C",7184.54955648894,-4.53678700575145,0.528655347552734,-8.58174806469522,9.3442118685724e-18,1.85105927154246e-16
"YLR377C",2132.79441220262,-4.52707555170958,0.52039638467767,-8.69928324831391,3.33986929878223e-18,6.85331603423952e-17
"YPL119C",327.709337270073,-4.50407067761693,0.674005692159741,-6.68254100819887,2.34834216190058e-11,1.82885033599898e-10
"YDL223C",2611.51460515562,-4.50391237322937,1.65730981966943,-2.71760434879203,0.00657564169797791,0.0137996879475526
"YDR342C",2150.30135156978,-4.50288433163289,0.416611052211149,-10.808365039127,3.14220299197139e-27,2.1673629071128e-25
