"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YER062C",16727.2203964983,7.90244365659343,0.414879866057507,19.0475467794768,6.88542029103334e-81,3.94190311661659e-77
"YHR094C",8488.45171080101,7.88973464526996,0.436336780070615,18.0817547491484,4.43733555271749e-73,8.46791534643587e-70
"YDR536W",10088.7759695862,7.88820330826466,0.417151219558314,18.9096973433682,9.48998550639511e-80,2.7165083512056e-76
"YOL124C",593.95026133797,7.80685572839526,0.565183483794872,13.8129580078612,2.12906274412903e-43,1.01574035084489e-40
"YNL065W",2109.18109194783,7.78761194615861,0.470954553617143,16.5358034790114,2.02657804382119e-61,2.90053982521908e-58
"YNL112W",5328.37182212653,7.36055186272707,0.495197826750591,14.8638614006565,5.65684574777601e-50,4.62649170085967e-47
"YKL120W",1725.82178306639,7.27081845597308,0.484940608004958,14.9932142946023,8.13205111226669e-51,9.31119852354537e-48
"YOR271C",1051.97829993515,6.84669645315291,0.476395729988777,14.3718678026652,7.77069102043839e-47,4.44872060920098e-44
"YLR180W",1931.61725513511,6.7951357995945,0.503529405263702,13.4950128603429,1.67325963031209e-41,5.98713211471044e-39
"YGR159C",8020.47353536361,6.76937661459179,0.453666266736345,14.9214898945218,2.38879372941155e-50,2.27930735014685e-47
"YJL122W",1291.45470016367,6.51479761943903,0.440263507420408,14.7974962940048,1.52037346322369e-49,9.67126452995072e-47
"YLR264W",1388.9718380478,6.48720392413473,0.437927680235865,14.8134137596435,1.19988433788221e-49,8.58667229296956e-47
"YNL141W",2900.66373186939,6.47585039333634,0.4837600328827,13.3864932056232,7.25250144758731e-41,2.30669837707985e-38
"YNR060W",1990.73323365953,6.43461040529421,0.511067896333418,12.5905196774409,2.38100630284764e-36,4.39718099477507e-34
"YML043C",522.414728095395,6.41713488861629,0.485603128982013,13.2147725284818,7.21039626037543e-40,2.06397592953247e-37
"YLR264C-A",400.407931865334,6.38586767960343,0.515885707336345,12.3784543529523,3.41863145399859e-35,5.15043817740577e-33
"YOR359W",477.933982381993,6.35976995313721,0.489784760226393,12.9848261309673,1.49176558583008e-38,3.88198089948964e-36
"YOR226C",579.719145898247,6.33606039848235,0.555043038993381,11.4154398008006,3.50128402503678e-30,3.41760561998834e-28
"YJL025W",238.472010356091,6.30255664641916,0.546039106185418,11.5423173450859,8.07208197470125e-31,8.7193715670122e-29
"YPL068C",278.671040113417,6.2942525078907,0.545081143726991,11.5473679108651,7.61159169720048e-31,8.38006970509091e-29
"YOL080C",383.178513997771,6.25525838199082,0.495488772439325,12.6244200271093,1.54878303388496e-36,3.05751133413496e-34
"YHR022C",392.69199019183,6.19293061554553,0.563139109807929,10.9971595076353,3.94358902338176e-28,3.05095231876494e-26
"YBL039C",2045.26286635201,6.18820391891304,0.49712129914126,12.4480764143534,1.43256283610399e-35,2.27817284352649e-33
"YER073W",874.069502803537,6.17781639690922,0.549227302046007,11.2481961000397,2.3637691894188e-29,2.11446540772229e-27
"YJL107C",844.674321246739,6.17338545534332,0.448204686882161,13.7735852301928,3.6751226971974e-43,1.61846749549655e-40
"YHR021W-A",164.779974307515,6.1406744249365,0.617117155938198,9.95058128889786,2.50714432535977e-23,1.0326187958766e-21
"YMR244W",183.03120898641,6.13270479822135,0.691095862144207,8.87388441191632,7.06378756896239e-19,1.63725440616638e-17
"YGR208W",416.377427762416,6.12684007089744,0.545992792667511,11.221466937254,3.1991909451002e-29,2.81774894779979e-27
"YKL078W",495.217466734547,6.08085558477988,0.517578152418892,11.7486712999015,7.17379520748006e-32,8.55624532558819e-30
"YJL108C",954.774305076072,5.99802279917539,0.433973186519304,13.8211829336341,1.89922951150925e-43,9.88462632126403e-41
"YER127W",731.198349515581,5.98411384856586,0.446520114415112,13.4016669246901,5.91202168778812e-41,1.99096024485806e-38
"YOL151W",10486.3666901986,5.98339015278929,0.471971430378494,12.6774414035844,7.88643751874098e-37,1.61249481409972e-34
"YDR528W",160.063310530046,5.93758834082434,0.583795628348618,10.17066256152,2.68078868932504e-24,1.28970716356184e-22
"YCR072C",701.330484676103,5.89827402133365,0.444412606494381,13.2720672976864,3.36176763532826e-40,1.01295366906602e-37
"YNL299W",235.024901449335,5.85377213493454,0.525880235588812,11.1313788554541,8.82595539753942e-29,7.43067568395782e-27
"YML018C",802.469636397348,5.84031241708225,0.464551716290743,12.5719316327465,3.01271883513261e-36,5.2266107064043e-34
"YMR300C",1595.82728185955,5.82402732079525,0.443961864833728,13.1183053818743,2.5865418569725e-39,7.05140577674646e-37
"YOR340C",947.368397653803,5.76831280893283,0.616998420599222,9.34899120702887,8.84876444914604e-21,2.62482779644358e-19
"YOL136C",1162.49103638099,5.71258363133676,0.422902205532682,13.5080488032482,1.40187862366681e-41,5.35050341366166e-39
"YOL041C",1900.73020770605,5.69199543597423,0.447681374369262,12.7143896571388,4.91935486964182e-37,1.08320410110382e-34
"YOR360C",1921.46523207231,5.66024023394357,0.41396056700701,13.673380232489,1.46431736499719e-42,5.9880120818635e-40
"YHR085W",378.108926306398,5.59997629018886,0.494953262206525,11.3141516942911,1.11677253730408e-29,1.03121335097837e-27
"YHR066W",1306.23360045833,5.58650755755691,0.433376156348979,12.8906666315494,5.08027578091946e-38,1.21185745190683e-35
"YDL063C",1078.59972216419,5.55435789303672,0.441700450543576,12.5749427835115,2.90010190636764e-36,5.18846356686086e-34
"YKL029C",5047.10084259349,5.5519387909155,0.486375404078633,11.4149250647919,3.52207391404911e-30,3.41760561998834e-28
"YNL182C",618.07179354152,5.50115090213566,0.457666184989845,12.0200073384441,2.78946685601803e-33,3.80230898826267e-31
"YML056C",2067.40249877409,5.48106799590067,0.599648261503783,9.1404717528162,6.21804829314539e-20,1.58921100349363e-18
"YKR092C",2178.82924215989,5.46018947507333,0.478049854734674,11.4217992558618,3.25425985648984e-30,3.32689958542935e-28
"YBR238C",226.082904323107,5.43621281616823,0.593848449938381,9.15420898502354,5.47574909570651e-20,1.41849156438551e-18
"YGL157W",238.335866673168,5.40735835498628,0.536713584445741,10.0749422256014,7.13026864316616e-24,3.23974507794653e-22
"YLR413W",654.820011956507,5.3944728756951,0.471838171981322,11.4328877908349,2.8642207866812e-30,2.98139345522724e-28
"YBL028C",857.757513307327,5.3938771431111,0.429887260347063,12.5471900208358,4.11867883696031e-36,6.93512833576406e-34
"YFL034C-A",1134.83070380169,5.38725105872213,0.486488186218849,11.0737551523988,1.68201409122136e-28,1.37564723889176e-26
"YEL026W",2039.00180057437,5.37104158349403,0.416199281297384,12.9049756327097,4.21948951084932e-38,1.0502859760701e-35
"YLR435W",394.500034820628,5.34852138523567,0.478642467026985,11.174356129445,5.44437597548372e-29,4.65209738203646e-27
"YGR079W",1514.7494695018,5.33804626075419,0.415612866338555,12.8437945335548,9.31922678953346e-38,2.13410293480316e-35
"YIR012W",1539.75155542522,5.33514715414642,0.420798669233232,12.6786217358243,7.76858664099292e-37,1.61249481409972e-34
"YGL035C",649.147124772063,5.33239557143447,0.469479798056063,11.3580937742452,6.76036550464733e-30,6.34476926460754e-28
"YLR186W",1342.2401624525,5.31775855214541,0.492969274805492,10.7872007930791,3.95657545979804e-27,2.69659458420759e-25
"YJR124C",302.890597693101,5.29436441758785,0.507817482495329,10.4257230207441,1.89214703805012e-25,1.06201390125852e-23
"YNL248C",1315.69330065199,5.29153658192829,0.452048810541618,11.7056752689788,1.19206432341653e-31,1.39276903093054e-29
"YJR063W",779.450942286418,5.28521598519077,0.431033023524188,12.2617425968388,1.45340341903676e-34,2.08018364349637e-32
"YOR108W",894.898729541751,5.26324935987189,0.485007246899184,10.8518983860996,1.95325731392723e-27,1.38054297805351e-25
"YPL212C",1385.47016581293,5.23034837030753,0.424490902707918,12.3214616307252,6.94244650566785e-35,1.01911554474227e-32
"YJL148W",1277.56161377408,5.22874567316096,0.414466920714646,12.6155922507526,1.73250278733393e-36,3.30619281916225e-34
"YIL053W",34466.7577785654,5.22065631875142,0.459413832172343,11.3637334210542,6.33770312278504e-30,6.04722506299072e-28
"YBR195C",207.338409302351,5.21989114825347,0.505328418936796,10.3297003545458,5.17219006782618e-25,2.74173964243564e-23
"YER049W",1370.49081474851,5.21884066665961,0.447043401488915,11.6741252622851,1.72834403777775e-31,1.94015090515247e-29
"YDR037W",4853.86410371124,5.21785368364629,0.428607131927463,12.1739777408309,4.27719283401682e-34,5.97242170115764e-32
"YOR233W",298.386956979706,5.19757106230802,0.487723615176315,10.6567959815296,1.62085455831228e-26,1.0426283535211e-24
"YMR093W",864.43699479644,5.19027570681871,0.434839523840336,11.9360716362216,7.67638467423266e-33,9.98802324090499e-31
